,player,date,team,contract_length,salary,tm_abr,date #,GM,year,month,trans yr,transaction_yr,salary num,salary new,contract_value,Contract Value
0,Adrian Griffin,1999-08-01,Boston Celtics,0,0,BOS,19990801,['Rick Pitino'],1999,08,,2000,0,0.0,0,0.0
1,Jamie Feick,1999-08-01,New Jersey Nets,0,0,NJN,19990801,['John Nash'],1999,08,,2000,0,0.0,0,0.0
2,Oliver Miller,1999-08-01,Phoenix Suns,0,0,PHO,19990801,['Bryan Colangelo'],1999,08,,2000,0,0.0,0,0.0
3,Detlef Schrempf,1999-08-02,Portland Trail Blazers,0,0,POR,19990802,['Bob Whitsitt'],1999,08,,2000,0,0.0,0,0.0
4,Michael Curry,1999-08-02,Detroit Pistons,0,0,DET,19990802,['Rick Sund'],1999,08,,2000,0,0.0,0,0.0
5,George McCloud,1999-08-03,Denver Nuggets,0,0,DEN,19990803,['Dan Issel'],1999,08,,2000,0,0.0,0,0.0
6,Rodney Rogers,1999-08-03,Phoenix Suns,0,0,PHO,19990803,['Bryan Colangelo'],1999,08,,2000,0,0.0,0,0.0
7,Wayne Turner,1999-08-03,Boston Celtics,0,0,BOS,19990803,['Rick Pitino'],1999,08,,2000,0,0.0,0,0.0
8,Darrick Martin,1999-08-04,Sacramento Kings,0,0,SAC,19990804,['Geoff Petrie'],1999,08,,2000,0,0.0,0,0.0
9,Otis Thorpe,1999-08-04,Miami Heat,0,0,MIA,19990804,['Randy Pfund'],1999,08,,2000,0,0.0,0,0.0
10,Calbert Cheaney,1999-08-05,Boston Celtics,0,0,BOS,19990805,['Rick Pitino'],1999,08,,2000,0,0.0,0,0.0
11,Dell Curry,1999-08-05,Toronto Raptors,0,0,TOR,19990805,['Glen Grunwald'],1999,08,,2000,0,0.0,0,0.0
12,Terry Porter,1999-08-05,San Antonio Spurs,0,0,SAS,19990805,['Gregg Popovich'],1999,08,,2000,0,0.0,0,0.0
13,Anthony Carter,1999-08-06,Miami Heat,0,0,MIA,19990806,['Randy Pfund'],1999,08,,2000,0,0.0,0,0.0
14,John Wallace,1999-08-06,New York Knicks,0,0,NYK,19990806,['Dave Checketts'],1999,08,,2000,0,0.0,0,0.0
15,Mark Davis,1999-08-06,Miami Heat,0,0,MIA,19990806,['Randy Pfund'],1999,08,,2000,0,0.0,0,0.0
