Player,Age,Year,Tm,G,WS,VORP,PER,Draft Pick,Draft Year
A.C. Green,22,1986,LAL,82,3.3,0.9,11.8,23,1985
A.C. Green,23,1987,LAL,79,7.6,2.1,15.7,23,1985
A.C. Green,24,1988,LAL,82,7.9,2,14.5,23,1985
A.C. Green,25,1989,LAL,82,9.4,2.7,17.8,23,1985
A.C. Green,26,1990,LAL,82,7.7,1.6,14.7,23,1985
A.C. Green,27,1991,LAL,82,6.1,1.4,13.8,23,1985
A.C. Green,28,1992,LAL,82,8.8,2.5,16.7,23,1985
A.C. Green,29,1993,LAL,82,8.6,2.9,16.3,23,1985
A.C. Green,30,1994,PHO,82,9.3,2.3,17,23,1985
A.C. Green,31,1995,PHO,82,6.7,1.9,14.2,23,1985
A.C. Green,32,1996,PHO,82,4.4,0.3,12.9,23,1985
A.C. Green,33,1997,DAL,56,4,0.7,12.6,23,1985
A.C. Green,33,1997,TOT,83,4.8,0.6,12.4,23,1985
A.C. Green,33,1997,PHO,27,0.8,-0.2,11.6,23,1985
A.C. Green,34,1998,DAL,82,5.2,0.9,12.8,23,1985
A.C. Green,35,1999,DAL,50,1.4,-0.2,12.5,23,1985
A.C. Green,36,2000,LAL,82,5,0.9,11.2,23,1985
A.C. Green,37,2001,MIA,82,3.2,-0.3,11.2,23,1985
A.J. Bramlett,23,2000,CLE,8,-0.2,-0.2,-0.4,39,1999
A.J. English,23,1991,WSB,70,0.2,-1,10.6,37,1990
A.J. English,24,1992,WSB,81,0.9,-1.4,12.5,37,1990
A.J. Guyton,22,2001,CHI,33,0.3,-0.6,10.3,32,2000
A.J. Guyton,23,2002,CHI,45,0.1,-0.4,11.8,32,2000
A.J. Guyton,24,2003,GSW,2,-0.1,0,-9,32,2000
A.J. Hammons,24,2017,DAL,22,0,-0.1,8.4,46,2016
A.J. Price,23,2010,IND,56,1.2,0,14,52,2009
A.J. Price,24,2011,IND,50,0.3,-0.3,10.7,52,2009
A.J. Price,25,2012,IND,44,0.7,0,11.5,52,2009
A.J. Price,26,2013,WAS,57,2.2,0.1,12.4,52,2009
A.J. Price,27,2014,MIN,28,0,-0.1,9.7,52,2009
A.J. Price,28,2015,IND,10,0.5,0.1,17.1,52,2009
A.J. Price,28,2015,CLE,11,-0.1,-0.1,7.7,52,2009
A.J. Price,28,2015,PHO,5,-0.1,-0.1,-1.6,52,2009
A.J. Price,28,2015,TOT,26,0.3,-0.1,12,52,2009
A.J. Wynder,26,1991,BOS,6,0,-0.1,7.6,Undrafted,0
Aaron Brooks,23,2008,HOU,51,1.4,0,13.1,26,2007
Aaron Brooks,24,2009,HOU,80,3.6,0.4,12.9,26,2007
Aaron Brooks,25,2010,HOU,82,5.5,1.6,16,26,2007
Aaron Brooks,26,2011,PHO,25,0.7,-0.1,15.6,26,2007
Aaron Brooks,26,2011,HOU,34,0.4,-0.4,11.7,26,2007
Aaron Brooks,26,2011,TOT,59,1.1,-0.5,13.1,26,2007
